Run,Hidden_Layer,Hidden_Units,Batch_Size,Learning_Rate,Dropout,Epoch
1,1,1219,196,0.004456492,0.546002858,1
2,2,575,177,0.005209793,0.528257588,1
3,2,590,134,0.008857132,0.639080383,1
4,1,684,136,0.005408856,0.777788108,1
5,1,707,65,0.006650693,0.511527014,1
6,2,925,106,0.007594695,0.566512052,1
7,2,837,202,0.002014135,0.5059313,1
8,1,796,255,0.003883837,0.586181849,1
9,1,908,140,0.000313777,0.667459346,1
10,2,661,157,0.000405588,0.796126829,1
11,2,1243,245,0.004717613,0.670906026,1
12,1,616,249,0.009824025,0.569080202,1
13,2,768,184,0.000939333,0.536096748,1
14,1,697,220,0.002548139,0.607185346,1
15,1,974,133,0.00288,0.510128707,1
16,2,1033,67,0.004225316,0.599310998,1
17,2,950,78,0.008941869,0.576187999,1
18,1,627,121,0.005552842,0.611919989,1
19,2,643,105,9.35E-05,0.51650479,1
20,1,607,70,0.000650722,0.74258393,1
21,1,1051,255,0.007879372,0.505694241,1
22,2,1530,243,0.008221406,0.534152484,1
23,1,1648,145,0.003741985,0.540211157,1
24,2,1416,189,0.001821656,0.623236611,1
25,2,1623,253,0.002574893,0.500221574,1
26,1,1627,216,0.003267401,0.681511259,1
27,1,1407,174,0.0099143,0.504224599,1
28,2,1614,110,0.009547106,0.643230624,1
29,2,1670,93,0.001483556,0.631787407,1
30,1,1475,103,0.003211058,0.581712478,1
31,2,1428,70,0.007629229,0.668159089,1
32,1,1123,91,0.006121087,0.537652965,1
33,1,1526,206,0.009234076,0.763093287,1
34,2,1672,177,0.003493938,0.781974534,1
35,2,832,164,0.008607401,0.602612784,1
36,1,1557,231,0.005733765,0.614709091,1
37,2,777,239,0.00882068,0.685647571,1
38,1,851,191,0.006175924,0.723194822,1
39,1,1091,247,0.007262277,0.784452169,1
40,2,565,235,0.005996989,0.736250291,1
41,1,1560,201,0.000254555,0.791429787,1
42,2,1147,214,0.003693325,0.748690055,1
43,2,1199,226,0.000218833,0.711641787,1
44,1,1480,253,0.000599039,0.773653116,1
45,1,1297,207,0.006327373,0.586487452,1
46,2,1632,163,0.006743893,0.753476049,1
47,1,1217,100,0.009804763,0.715048476,1
48,2,675,208,0.007837514,0.69562922,1
49,1,1270,152,0.007118467,0.655033746,1
50,2,1363,126,0.00968424,0.77068924,1
51,1,1595,125,0.004158573,0.707983128,1
52,2,1231,81,0.002362122,0.790308017,1
53,1,586,97,0.002685149,0.705254603,1
54,2,803,72,0.004513749,0.786119115,1
55,1,728,67,0.001609865,0.67245389,1
56,2,1158,138,0.001399603,0.774383303,1
57,1,1325,113,0.000761476,0.662415392,1
58,2,1530,148,0.001251906,0.694187206,1
59,2,938,115,0.005252719,0.799231269,1
60,1,1438,95,0.006437162,0.794369827,1
